# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458547.0101929       1.0008052       0.0010915            nan   3351.1105716      3.6546430   3348.4144707
2458547.0310669       0.9995109       0.0010910            nan   3346.8035254      3.6529905   3348.4412251
2458547.0518799       1.0021628       0.0010936            nan   3355.7069544      3.6619584   3348.4649010
2458547.0726929       1.0001798       0.0010973            nan   3349.0880945      3.6744049   3348.4860363
2458547.0935669       1.0000761       0.0010908            nan   3348.7604533      3.6525678   3348.5056343
2458547.1143799       0.9986012       0.0010934            nan   3343.8408211      3.6614286   3348.5246029
2458547.1351929       0.9990167       0.0010916            nan   3345.2506885      3.6553314   3348.5432263
2458547.1560669       1.0008181       0.0010934            nan   3351.3024792      3.6612514   3348.5629921
2458547.1768799       0.9982891       0.0010906            nan   3342.8536853      3.6519502   3348.5827389
2458547.1976929       1.0007797       0.0010911            nan   3351.2145540      3.6535000   3348.6035137
2458547.2185669       1.0005533       0.0010906            nan   3350.4778070      3.6521041   3348.6251545
2458547.2393799       0.9994664       0.0010904            nan   3346.8607217      3.6514627   3348.6474304
2458547.2601929       1.0001444       0.0010917            nan   3349.1535894      3.6558778   3348.6701431
2458547.2810669       1.0009005       0.0010914            nan   3351.7093826      3.6549235   3348.6938343
2458547.3018799       1.0000741       0.0010905            nan   3348.9662771      3.6519278   3348.7181244
2458547.3226929       0.9998821       0.0010902            nan   3348.3488969      3.6507716   3348.7437554
2458547.3435669       0.9973449       0.0010899            nan   3339.8799813      3.6498705   3348.7713185
2458547.3643799       0.9997501       0.0010908            nan   3347.9635716      3.6527406   3348.8004456
2458547.3851929       0.9977085       0.0010918            nan   3341.1583564      3.6564048   3348.8320770
2458547.4060669       0.9977872       0.0010919            nan   3341.4559143      3.6564905   3348.8662701
2458547.4268799       0.9985838       0.0010906            nan   3344.1608873      3.6522657   3348.9035492
2458547.4476929       0.9998213       0.0010916            nan   3348.3454180      3.6556159   3348.9438820
2458547.4685669       1.0002924       0.0010917            nan   3349.9665215      3.6559571   3348.9872055
2458547.4893799       0.9994144       0.0010920            nan   3347.0715142      3.6570276   3349.0328751
2458547.5101929       0.9992116       0.0010913            nan   3346.4404794      3.6546878   3349.0809365
2458547.5310669       1.0008647       0.0010902            nan   3352.0269728      3.6512183   3349.1311283
2458547.5518799       0.9992545       0.0010909            nan   3346.6853107      3.6536371   3349.1820393
2458547.5726929       1.0001054       0.0010905            nan   3349.5864486      3.6522665   3349.2335873
2458547.5935669       0.9966413       0.0010900            nan   3338.0356218      3.6506600   3349.2849446
2458547.6143799       1.0006661       0.0010901            nan   3351.5663060      3.6511149   3349.3353749
2458547.6351929       0.9991551       0.0010906            nan   3346.5543851      3.6527471   3349.3843193
2458547.6560669       0.9998804       0.0010906            nan   3349.0306025      3.6527868   3349.4313431
2458547.6768799       1.0001152       0.0010918            nan   3349.8613549      3.6569149   3349.4755917
2458547.6976929       1.0000022       0.0010908            nan   3349.5235581      3.6536978   3349.5162373
2458547.7185669       1.0006350       0.0010926            nan   3351.6791872      3.6598376   3349.5522557
2458547.7393799       0.9993757       0.0010906            nan   3347.4920347      3.6529629   3349.5832596
2458547.7601929       1.0003751       0.0010912            nan   3350.8646375      3.6551960   3349.6082020
2458547.7810669       0.9970249       0.0010897            nan   3339.6618132      3.6500310   3349.6271725
2458547.8018799       1.0015192       0.0010905            nan   3354.7277990      3.6527505   3349.6389637
2458547.8226929       1.0016373       0.0010916            nan   3355.1272420      3.6565383   3349.6427174
2458547.8435669       0.9984669       0.0010904            nan   3344.5037971      3.6524511   3349.6391335
2458547.8643799       1.0017325       0.0010907            nan   3355.4317725      3.6534279   3349.6286679
2458547.8851929       0.9994762       0.0010909            nan   3347.8564855      3.6542487   3349.6109543
2458547.9060669       1.0013029       0.0010916            nan   3353.9506868      3.6564660   3349.5864182
2458547.9268799       1.0004180       0.0010915            nan   3350.9567808      3.6561554   3349.5566673
2458547.9476929       0.9993912       0.0010896            nan   3347.4830624      3.6496973   3349.5222969
2458547.9685669       0.9981417       0.0010897            nan   3343.2592801      3.6500295   3349.4837876
2458547.9893799       1.0010733       0.0010916            nan   3353.0375795      3.6563419   3349.4427166
2458548.0101929       0.9991070       0.0010925            nan   3346.4086845      3.6593825   3349.3995991
2458548.0310669       0.9986291       0.0010901            nan   3344.7630061      3.6511705   3349.3545075
2458548.0518799       1.0010450       0.0010905            nan   3352.8081125      3.6524833   3349.3080425
2458548.0726929       0.9981135       0.0010903            nan   3342.9414088      3.6516698   3349.2597485
2458548.0935669       1.0002184       0.0010906            nan   3349.9410309      3.6525429   3349.2096615
2458548.1143799       1.0013263       0.0010906            nan   3353.5995782      3.6526840   3349.1574841
2458548.1351929       0.9990149       0.0010899            nan   3345.8033799      3.6500310   3349.1027432
2458548.1560669       1.0003725       0.0010916            nan   3350.2932433      3.6556622   3349.0455609
2458548.1768799       1.0018665       0.0010926            nan   3355.2359287      3.6591511   3348.9849663
2458548.1976929       0.9992213       0.0010909            nan   3346.3136346      3.6531889   3348.9215603
2458548.2185669       1.0005442       0.0010920            nan   3350.6774136      3.6570424   3348.8550320
2458548.2393799       1.0007835       0.0010908            nan   3351.4096804      3.6526987   3348.7858162
2458548.2601929       0.9994562       0.0010917            nan   3346.8944432      3.6559441   3348.7153321
2458548.2810669       0.9977885       0.0010924            nan   3341.2374933      3.6580102   3348.6428700
2458548.3018799       1.0006286       0.0010910            nan   3350.6744227      3.6531565   3348.5695324
2458548.3226929       1.0003365       0.0010930            nan   3349.6231522      3.6598311   3348.4964829
2458548.3435669       0.9990688       0.0010922            nan   3345.3051516      3.6572652   3348.4232598
2458548.3643799       1.0006728       0.0010918            nan   3350.6044557      3.6556229   3348.3517170
2458548.3851929       0.9990286       0.0010910            nan   3345.0298892      3.6531313   3348.2822933
2458548.4060669       0.9985201       0.0010912            nan   3343.2601966      3.6534714   3348.2151108
2458548.4268799       1.0005890       0.0010920            nan   3350.1234434      3.6561346   3348.1512699
2458548.4476929       0.9997602       0.0010924            nan   3347.2879464      3.6574803   3348.0908089
2458548.4685669       0.9998393       0.0010910            nan   3347.4944681      3.6525889   3348.0324478
2458548.4893799       0.9993191       0.0010907            nan   3345.6981453      3.6515413   3347.9777184
2458548.5101929       1.0010919       0.0010940            nan   3351.5812385      3.6625276   3347.9258042
2458548.5310669       0.9997698       0.0010910            nan   3347.1058638      3.6526479   3347.8765202
2458548.5518799       1.0024866       0.0010908            nan   3356.1545183      3.6516648   3347.8297157
2458548.5726929       0.9990363       0.0010924            nan   3344.5595705      3.6571771   3347.7857056
2458548.5935669       0.9991838       0.0010923            nan   3345.0124640      3.6568944   3347.7448883
2458548.6143799       0.9993695       0.0010921            nan   3345.5977707      3.6560914   3347.7085457
2458548.6351929       0.9994862       0.0010908            nan   3345.9565912      3.6515716   3347.6767426
2458548.6560669       1.0003361       0.0010911            nan   3348.7736311      3.6527214   3347.6485577
2458548.6768799       0.9987478       0.0010926            nan   3343.4336376      3.6576275   3347.6253796
2458548.6976929       0.9970061       0.0010904            nan   3337.5833045      3.6502876   3347.6055756
2458548.7185669       1.0014156       0.0010924            nan   3352.3284562      3.6570281   3347.5897198
2458548.7393799       0.9995055       0.0010913            nan   3345.9212431      3.6530673   3347.5765457
2458548.7601929       0.9985344       0.0010907            nan   3342.6605605      3.6510521   3347.5666676
2458548.7810669       0.9991851       0.0010940            nan   3344.8318159      3.6623587   3347.5596581
2458548.8018799       0.9995785       0.0010939            nan   3346.1432843      3.6617468   3347.5542526
2458548.8226929       1.0016272       0.0010907            nan   3352.9967423      3.6513060   3347.5495949
2458548.8435669       1.0002054       0.0010915            nan   3348.2324379      3.6538359   3347.5449143
2458548.8643799       1.0002526       0.0010903            nan   3348.3842936      3.6498562   3347.5386734
2458548.8851929       0.9985213       0.0010904            nan   3342.5813250      3.6502333   3347.5312901
