# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458469.2188110       1.0039091       0.0015885            nan   3275.8180514      5.1834962   3263.0623686
2458469.2396240       1.0037521       0.0015887            nan   3275.3058056      5.1840127   3263.0623686
2458469.2604370       1.0026139       0.0015877            nan   3271.5918222      5.1808043   3263.0623686
2458469.2813110       1.0035873       0.0015885            nan   3274.7678765      5.1832775   3263.0623686
2458469.3021240       1.0032505       0.0015894            nan   3273.6688128      5.1861676   3263.0623686
2458469.3229370       1.0027612       0.0015891            nan   3272.0722900      5.1854316   3263.0623686
2458469.3438110       1.0034429       0.0015879            nan   3274.2968586      5.1815176   3263.0623686
2458469.3646240       1.0051571       0.0015870            nan   3279.8901541      5.1784130   3263.0623686
2458469.3854370       1.0022233       0.0015874            nan   3270.3172081      5.1798587   3263.0623686
2458469.4063110       1.0040683       0.0015887            nan   3276.3375425      5.1840079   3263.0623686
2458469.4271240       1.0033846       0.0015883            nan   3274.1063841      5.1828810   3263.0623686
2458469.4479370       1.0028926       0.0015872            nan   3272.5010184      5.1792281   3263.0623686
2458469.4688110       1.0029197       0.0015864            nan   3272.5894180      5.1764648   3263.0623686
2458469.4896240       1.0054835       0.0015879            nan   3280.9554242      5.1813397   3263.0623686
2458469.5104370       1.0051477       0.0015898            nan   3279.8595672      5.1874825   3263.0623686
2458469.5313110       1.0034052       0.0015901            nan   3274.1739091      5.1884867   3263.0623686
2458469.5521240       1.0067475       0.0015878            nan   3285.0798709      5.1811797   3263.0623686
2458469.5729370       1.0018826       0.0015884            nan   3269.2052495      5.1830984   3263.0623686
2458469.5938110       1.0041428       0.0015905            nan   3276.5806491      5.1898403   3263.0623686
2458469.6146240       1.0049998       0.0015887            nan   3279.3769891      5.1839419   3263.0623686
2458469.6354370       1.0026217       0.0015882            nan   3271.6170563      5.1824698   3263.0623686
2458469.6563110       1.0034294       0.0015902            nan   3274.2527547      5.1889632   3263.0623686
2458469.6771240       1.0015587       0.0015899            nan   3268.1485809      5.1878244   3263.0623686
2458469.6979370       1.0048196       0.0015899            nan   3278.7891528      5.1880659   3263.0623686
2458469.7188110       1.0043418       0.0015875            nan   3277.2299097      5.1800710   3263.0623686
2458469.7396240       1.0045874       0.0015903            nan   3278.0312396      5.1892171   3263.0623686
2458469.7604370       1.0045640       0.0015880            nan   3277.9551154      5.1818306   3263.0623686
2458469.7813110       1.0050457       0.0015890            nan   3279.5267988      5.1849721   3263.0623686
2458469.8021240       1.0025202       0.0015884            nan   3271.2857979      5.1831495   3263.0623686
2458469.8229370       1.0037534       0.0015861            nan   3275.3098457      5.1754994   3263.0623686
2458469.8438110       1.0040736       0.0015877            nan   3276.3547581      5.1808114   3263.0623686
2458469.8646240       1.0028443       0.0015867            nan   3272.3435161      5.1773965   3263.0623686
2458469.8854370       1.0033566       0.0015870            nan   3274.0151587      5.1785594   3263.0623686
2458469.9063110       0.9980873       0.0015909            nan   3256.8209831      5.1913325   3263.0623686
2458469.9271240       0.9865613       0.0015849            nan   3219.2111892      5.1717376   3263.0623686
2458469.9479370       0.9843809       0.0015859            nan   3212.0961396      5.1749294   3263.0623686
2458469.9688110       0.9820424       0.0015876            nan   3204.4656410      5.1805787   3263.0623686
2458469.9896240       0.9851002       0.0015881            nan   3214.4434486      5.1821057   3263.0623686
2458470.0104370       0.9851482       0.0015845            nan   3214.6000808      5.1704313   3263.0623686
2458470.0313110       0.9905267       0.0015860            nan   3232.1502854      5.1751325   3263.0623686
2458470.0521240       1.0004504       0.0015875            nan   3264.5319031      5.1799963   3263.0623686
2458470.0729370       1.0036388       0.0015881            nan   3274.9360571      5.1821644   3263.0623686
2458470.0938110       1.0013285       0.0015860            nan   3267.3973229      5.1751663   3263.0623686
2458470.1146240       1.0009534       0.0015878            nan   3266.1732791      5.1812251   3263.0623686
2458470.1354370       1.0032813       0.0015869            nan   3273.7695448      5.1783149   3263.0623686
2458470.1563110       1.0027372       0.0015884            nan   3271.9940107      5.1831667   3263.0623686
2458470.1771240       1.0019928       0.0015885            nan   3269.5649392      5.1834730   3263.0623686
2458470.1979370       1.0026554       0.0015887            nan   3271.7269876      5.1841354   3263.0623686
2458470.2188110       1.0020255       0.0015901            nan   3269.6718480      5.1885995   3263.0623686
2458470.2396240       1.0033876       0.0015885            nan   3274.1162334      5.1834663   3263.0623686
2458470.2604370       1.0042876       0.0015893            nan   3277.0529865      5.1859908   3263.0623686
2458470.2813110       1.0013883       0.0015870            nan   3267.5925662      5.1785276   3263.0623686
