# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458656.2000122       0.9998456       0.0012758            nan   3272.2157221      4.1754102   3272.7211042
2458656.2208252       0.9991640       0.0012757            nan   3269.7784994      4.1747294   3272.5144315
2458656.2416382       0.9991912       0.0012767            nan   3269.6678826      4.1776365   3272.3144116
2458656.2625122       0.9983316       0.0012728            nan   3266.6606554      4.1648581   3272.1199002
2458656.2833252       1.0001251       0.0012712            nan   3272.3417112      4.1592927   3271.9325528
2458656.3041382       1.0002136       0.0012686            nan   3272.4490644      4.1505446   3271.7501874
2458656.3250122       1.0006049       0.0012683            nan   3273.5528446      4.1492243   3271.5738263
2458656.3458252       1.0005505       0.0012675            nan   3273.2025739      4.1465270   3271.4017758
2458656.3666382       0.9982070       0.0012660            nan   3265.3690334      4.1414127   3271.2343946
2458656.3875122       0.9997828       0.0012637            nan   3270.3601217      4.1337959   3271.0707440
2458656.4083252       1.0017187       0.0012663            nan   3276.5333139      4.1420398   3270.9115872
2458656.4291382       1.0008450       0.0012629            nan   3273.5190197      4.1306052   3270.7553220
2458656.4500122       0.9994926       0.0012640            nan   3268.9417393      4.1341811   3270.6011853
2458656.4708252       1.0012117       0.0012626            nan   3274.4131545      4.1291524   3270.4502988
2458656.4916382       1.0003743       0.0012662            nan   3271.5262808      4.1409222   3270.3020673
2458656.5125122       0.9990983       0.0012656            nan   3267.2084965      4.1386651   3270.1573072
2458656.5333252       0.9997896       0.0012768            nan   3269.3286611      4.1751048   3270.0166287
2458656.5541382       0.9993838       0.0012690            nan   3267.8648960      4.1494195   3269.8796353
2458656.5750122       0.9981336       0.0012687            nan   3263.6443259      4.1482529   3269.7468686
2458656.5958252       1.0005563       0.0012703            nan   3271.4377403      4.1532816   3269.6189237
2458656.6166382       0.9994522       0.0012724            nan   3267.7026172      4.1599841   3269.4937940
2458656.6375122       0.9989727       0.0012703            nan   3266.0129912      4.1530787   3269.3717237
2458656.6583252       1.0010499       0.0012733            nan   3272.6836134      4.1628048   3269.2512555
2458656.6791382       1.0000515       0.0012711            nan   3269.3005296      4.1554243   3269.1320691
2458656.7000122       0.9983950       0.0012696            nan   3263.7658652      4.1504179   3269.0126309
2458656.7208252       1.0015641       0.0012698            nan   3274.0056652      4.1509200   3268.8926282
2458656.7416382       0.9982289       0.0012712            nan   3262.9809583      4.1552963   3268.7702451
2458656.7625122       0.9999651       0.0012695            nan   3268.5301805      4.1496959   3268.6440930
2458656.7833252       0.9993655       0.0012701            nan   3266.4409606      4.1512549   3268.5148053
2458656.8041382       1.0010723       0.0012708            nan   3271.8831598      4.1533084   3268.3785367
2458656.8250122       1.0016365       0.0012688            nan   3273.5833991      4.1467719   3268.2349820
2458656.8458252       0.9993450       0.0012681            nan   3265.9412938      4.1442387   3268.0820203
2458656.8666382       1.0015997       0.0012685            nan   3273.1477346      4.1455095   3267.9199719
2458656.8875122       1.0013071       0.0012675            nan   3272.0178907      4.1417475   3267.7465787
